iter	Passed	Remaining
0	122	121893
1	123	61550
2	124	41398
3	125	31299
4	126	25254
5	128	21254
6	129	18389
7	130	16228
8	132	14544
9	133	13198
10	134	12127
11	136	11205
12	137	10427
13	138	9756
14	139	9174
15	141	8684
16	142	8236
17	143	7835
18	144	7475
19	146	7154
20	147	6883
21	148	6618
22	150	6385
23	151	6165
24	154	6007
25	155	5820
26	157	5658
27	159	5521
28	160	5373
29	161	5227
30	162	5092
31	164	4972
32	165	4863
33	167	4751
34	168	4659
35	170	4563
36	171	4471
37	172	4379
38	174	4293
39	175	4216
40	177	4143
41	178	4067
42	179	3995
43	181	3933
44	182	3870
45	183	3807
46	184	3747
47	187	3710
48	188	3663
49	190	3611
50	192	3575
51	193	3529
52	194	3483
53	197	3457
54	198	3414
55	200	3371
56	201	3334
57	202	3295
58	204	3261
59	205	3220
60	206	3184
61	208	3154
62	210	3136
63	212	3106
64	213	3075
65	215	3049
66	216	3017
67	217	2985
68	219	2957
69	220	2934
70	222	2908
71	224	2889
72	225	2864
73	226	2837
74	228	2813
75	230	2799
76	231	2777
77	232	2753
78	234	2736
79	237	2727
80	239	2715
81	241	2705
82	243	2689
83	245	2675
84	250	2697
85	253	2695
86	254	2675
87	258	2678
88	259	2661
89	261	2643
90	263	2628
91	264	2612
92	266	2596
93	267	2581
94	269	2565
95	272	2564
96	274	2551
97	275	2538
98	277	2525
99	278	2509
100	280	2496
101	281	2475
102	282	2460
103	283	2445
104	285	2437
105	287	2424
106	288	2411
107	290	2398
108	291	2384
109	293	2377
110	295	2363
111	296	2351
112	298	2340
113	299	2327
114	300	2315
115	302	2303
116	303	2292
117	305	2281
118	306	2267
119	307	2257
120	309	2246
121	310	2235
122	311	2220
123	313	2212
124	314	2203
125	316	2193
126	317	2183
127	318	2170
128	320	2160
129	321	2150
130	323	2147
131	324	2136
132	326	2128
133	327	2118
134	329	2112
135	331	2106
136	332	2097
137	334	2086
138	335	2081
139	337	2071
140	338	2062
141	340	2054
142	341	2048
143	343	2039
144	344	2030
145	346	2025
146	347	2016
147	348	2008
148	350	2000
149	351	1993
150	353	1985
151	354	1977
152	356	1974
153	358	1969
154	360	1962
155	361	1955
156	362	1948
157	364	1941
158	365	1933
159	366	1925
160	368	1919
161	369	1912
162	370	1904
163	372	1901
164	374	1893
165	375	1888
166	377	1881
167	379	1877
168	380	1873
169	382	1867
170	383	1860
171	385	1854
172	386	1846
173	387	1840
174	389	1836
175	391	1833
176	392	1826
177	394	1820
178	395	1815
179	397	1811
180	398	1801
181	399	1796
182	401	1790
183	403	1788
184	404	1782
185	406	1777
186	407	1772
187	409	1768
188	411	1765
189	412	1759
190	414	1755
191	416	1751
192	417	1747
193	419	1741
194	420	1736
195	421	1730
196	423	1725
197	425	1721
198	426	1717
199	428	1712
200	429	1707
201	430	1702
202	433	1703
203	435	1698
204	436	1694
205	438	1690
206	440	1685
207	441	1680
208	443	1677
209	444	1673
210	446	1669
211	447	1664
212	449	1659
213	450	1654
214	451	1649
215	453	1644
216	454	1641
217	456	1637
218	457	1632
219	459	1628
220	461	1625
221	462	1621
222	463	1616
223	465	1612
224	466	1607
225	468	1603
226	469	1598
227	471	1597
228	473	1592
229	474	1588
230	475	1583
231	477	1579
232	478	1575
233	479	1571
234	481	1566
235	482	1563
236	484	1558
237	485	1555
238	486	1550
239	488	1546
240	489	1541
241	491	1539
242	492	1535
243	494	1531
244	495	1527
245	497	1523
246	498	1519
247	500	1516
248	501	1512
249	502	1508
250	504	1504
251	505	1500
252	506	1496
253	508	1492
254	509	1489
255	511	1485
256	512	1482
257	514	1478
258	515	1476
259	517	1472
260	518	1468
261	520	1464
262	521	1461
263	523	1458
264	524	1454
265	526	1451
266	527	1447
267	528	1444
268	529	1440
269	531	1436
270	532	1433
271	534	1429
272	535	1425
273	537	1422
274	538	1419
275	539	1416
276	541	1412
277	543	1410
278	544	1407
279	545	1403
280	547	1400
281	548	1397
282	550	1394
283	551	1391
284	553	1387
285	554	1384
286	556	1381
287	557	1378
288	558	1375
289	560	1372
290	572	1395
291	574	1392
292	575	1388
293	576	1385
294	578	1382
295	579	1378
296	581	1375
297	584	1376
298	585	1372
299	586	1369
300	590	1370
301	591	1367
302	592	1363
303	594	1361
304	596	1359
305	598	1356
306	599	1353
307	601	1351
308	602	1348
309	604	1344
310	605	1342
311	607	1339
312	608	1336
313	611	1334
314	612	1332
315	614	1329
316	617	1329
317	618	1326
318	619	1323
319	622	1322
320	623	1319
321	625	1316
322	627	1315
323	629	1313
324	631	1311
325	633	1309
326	634	1306
327	636	1303
328	638	1301
329	639	1298
330	641	1295
331	642	1293
332	644	1290
333	645	1287
334	647	1285
335	649	1283
336	651	1280
337	653	1279
338	654	1276
339	656	1274
340	657	1271
341	660	1271
342	662	1268
343	663	1265
344	666	1265
345	668	1263
346	669	1260
347	672	1259
348	674	1257
349	675	1254
350	678	1254
351	680	1252
352	681	1249
353	683	1247
354	685	1245
355	686	1242
356	688	1240
357	690	1239
358	693	1238
359	695	1237
360	697	1234
361	698	1231
362	700	1229
363	701	1226
364	705	1227
365	707	1225
366	711	1227
367	713	1225
368	715	1222
369	716	1220
370	718	1218
371	720	1217
372	722	1214
373	724	1212
374	726	1210
375	727	1207
376	729	1205
377	731	1203
378	732	1200
379	734	1198
380	735	1195
381	737	1192
382	738	1189
383	739	1186
384	740	1183
385	742	1181
386	743	1178
387	745	1175
388	747	1174
389	748	1171
390	750	1168
391	751	1166
392	753	1163
393	754	1160
394	755	1157
395	757	1155
396	758	1152
397	760	1149
398	761	1147
399	763	1145
400	764	1142
401	766	1139
402	767	1136
403	769	1135
404	770	1132
405	772	1129
406	773	1127
407	775	1125
408	777	1122
409	778	1119
410	779	1117
411	781	1114
412	782	1112
413	784	1109
414	785	1107
415	787	1104
416	788	1102
417	789	1099
418	790	1096
419	792	1094
420	794	1091
421	795	1089
422	796	1086
423	799	1085
424	800	1083
425	802	1080
426	803	1078
427	804	1075
428	806	1072
429	807	1070
430	809	1068
431	811	1066
432	812	1063
433	813	1061
434	815	1059
435	816	1056
436	817	1053
437	820	1052
438	821	1049
439	822	1047
